"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Syria",2015,50,0.0670712354179245,2014,0.0652010315676502,0.0286836543120305,0.00187020385027427
"Syria",2016,50,0.077602679858963,2015,0.0670712354179245,0.15701879315949,0.0105314444410385
"Syria",2017,50,0.0692558131826995,2016,0.077602679858963,-0.10755900042928,-0.0083468666762635
"Syria",2018,50,0.0710961089838454,2017,0.0692558131826995,0.0265724379885796,0.00184029580114593
"Syria",2019,50,0.0994183805285191,2018,0.0710961089838454,0.398365985839099,0.0283222715446736
"Syria",2020,2,0.267869362362068,2019,0.0994183805285191,1.69436457260765,0.168450981833549
"Syria",2020,20,0.267869362362068,2020,0.267869362362068,0,0
"Syria",2020,50,0.0724610805140731,2020,0.267869362362068,-0.729490973229964,-0.195408281847995
"Syria",2020,200,0.105401933254548,2020,0.0724610805140731,0.454600628458433,0.0329408527404748
"Taiwan",2005,50,0.0387715249894752,NA,NA,NA,NA
"Taiwan",2006,50,0.0171616530502913,2005,0.0387715249894752,-0.557364507716683,-0.0216098719391839
"Taiwan",2007,50,0.00978876802219751,2006,0.0171616530502913,-0.42961391927036,-0.00737288502809376
"Taiwan",2008,50,0.0108356023672734,2007,0.00978876802219751,0.10694239997332,0.00104683434507589
"Taiwan",2009,50,0.0173171880840691,2008,0.0108356023672734,0.598174932698887,0.00648158571679567
"Taiwan",2010,50,0.0239906734614961,2009,0.0173171880840691,0.385367725119663,0.00667348537742703
"Taiwan",2011,50,0.0136381557735351,2010,0.0239906734614961,-0.431522595836099,-0.010352517687961
"Taiwan",2012,50,0.00197399723368419,2011,0.0136381557735351,-0.855259225186829,-0.0116641585398509
"Taiwan",2013,50,-0.00356692024453138,2012,0.00197399723368419,-2.80695301070621,-0.00554091747821557
"Taiwan",2014,50,0.00829991724647982,2013,-0.00356692024453138,-3.32691416613669,0.0118668374910112
"Taiwan",2015,50,-0.00663617709449606,2014,0.00829991724647982,-1.79954738070559,-0.0149360943409759
"Taiwan",2016,50,0.0133554997019534,2015,-0.00663617709449606,-3.01252912810754,0.0199916767964494
