"COUNTRY","SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Iran","Coal",2007,50,0.158079930312316,2006,0.185660473317987,-0.148553660953092,-0.0275805430056708
"Iran","Coal",2008,50,0.157952982801251,2007,0.158079930312316,-0.00080305900195453,-0.00012694751106565
"Iran","Coal",2009,50,0.148162104678089,2008,0.157952982801251,-0.0619860286872939,-0.00979087812316196
"Iran","Coal",2010,50,0.165747099882693,2009,0.148162104678089,0.11868753648452,0.017584995204604
"Iran","Coal",2011,50,0.129454012893994,2010,0.165747099882693,-0.218966648673704,-0.0362930869886989
"Iran","Coal",2012,50,0.103792868958767,2011,0.129454012893994,-0.198225944191005,-0.0256611439352265
"Iran","Coal",2013,50,0.0939769584665869,2012,0.103792868958767,-0.0945721087648118,-0.00981591049218039
"Iran","Coal",2014,50,0.131664905621731,2013,0.0939769584665869,0.401033910546744,0.0376879471551443
"Iran","Coal",2015,50,0.133471005731523,2014,0.131664905621731,0.0137173994942967,0.00180610010979215
"Iran","Coal",2016,50,0.126843384134937,2015,0.133471005731523,-0.0496558901333047,-0.0066276215965862
"Iran","Coal",2017,50,0.15956205871335,2016,0.126843384134937,0.257945456135151,0.0327186745784125
"Iran","Coal",2018,50,0.135543882090299,2017,0.15956205871335,-0.150525612521698,-0.02401817662305
"Iran","Coal",2019,50,0.0931144518117092,2018,0.135543882090299,-0.313030950746444,-0.0424294302785903
"Iran","Coal",2020,2,0.0634182952344418,2019,0.0931144518117092,-0.318921026752295,-0.0296961565772674
"Iran","Coal",2020,20,0.0634182952344418,2020,0.0634182952344418,0,0
"Iran","Coal",2020,50,0.120611799793483,2020,0.0634182952344418,0.901845506058009,0.0571935045590413
"Iran","Coal",2020,200,0.0825825960310251,2020,0.120611799793483,-0.315302514576296,-0.038029203762458
"Iran","Oil & Gas",2005,50,0.110029808099379,NA,NA,NA,NA
"Iran","Oil & Gas",2006,50,0.105520152551529,2005,0.110029808099379,-0.0409857621834305,-0.00450965554784963
"Iran","Oil & Gas",2007,50,0.106668160091928,2006,0.105520152551529,0.0108795098627057,0.00114800754039857
"Iran","Oil & Gas",2008,50,0.108161175700811,2007,0.106668160091928,0.0139968253656665,0.00149301560888367
"Iran","Oil & Gas",2009,50,0.0964035918639569,2008,0.108161175700811,-0.108704290247154,-0.0117575838368544
"Iran","Oil & Gas",2010,50,0.114369709423634,2009,0.0964035918639569,0.186363570197995,0.0179661175596774
"Iran","Oil & Gas",2011,50,0.118413544475631,2010,0.114369709423634,0.0353575703949535,0.00404383505199653
"Iran","Oil & Gas",2012,50,0.105529550761007,2011,0.118413544475631,-0.108805067626997,-0.0128839937146234
